quad_id,topic,seed,condition,interrogator_stance,suspect_init_direction,magnitude,direction,consistency,directional_accuracy,techniques_used
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,control,against,2,0.0,0,1.2381,False,
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,treatment,for,-2,2.0,1,2.4762,True,
transit_fare_prop_x_43_20260522T010634,transit_fare_prop_x,43,treatment,against,2,2.0,-1,0.5714,True,
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,control,for,-2,1.0,-1,1.3333,False,
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,control,against,2,3.0,1,1.3333,False,
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,treatment,for,-2,3.0,1,1.5714,True,
transit_fare_prop_x_44_20260522T011416,transit_fare_prop_x,44,treatment,against,2,3.0,-1,1.2857,True,
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,control,for,-2,1.0,-1,1.2857,False,
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,control,against,2,2.0,1,1.9524,False,
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,treatment,for,-2,2.0,1,1.0,True,
transit_fare_prop_x_45_20260522T012124,transit_fare_prop_x,45,treatment,against,2,3.0,-1,1.1429,True,
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,control,for,-2,1.0,-1,1.6667,False,
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,control,against,2,2.0,-1,1.2381,True,
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,treatment,for,-2,0.0,0,1.0,False,
transit_fare_prop_x_46_20260522T012836,transit_fare_prop_x,46,treatment,against,2,2.0,-1,0.9524,True,
