authors,year,title,primary_venue,preprint,field,link,summary,relevance_category,relevance_reason,relevance_dimension,in_bibliography,read_status,is_technical_precedent
"Yu, L. et al.",2023,Towards Better Dynamic Graph Learning: New Architecture and Unified Library,NeurIPS 2023,arXiv:2303.13047,network science / graph learning,https://arxiv.org/abs/2303.13047,Provides architecture and unified library for dynamic graph learning to model how influence evolves through networks over time.,supporting,Companion to Sun et al. for the network targeting upstream component described in future work.,future work,TRUE,full,True
"Marcellino, W. et al.",2020,Counter-Radicalization Bot Research: Using Social Bots to Fight Violent Extremism,RAND Corporation (RR-2705),,CVE / counter-terrorism,https://www.rand.org/pubs/research_reports/RR2705.html,Studies using social bots to rapidly detect targets of violent extremist recruitment and deliver counter-radicalization content; analyzes feasibility legal and ethical considerations of bot-based CVE.,core,Closest prior system to ours in the CVE space; bots lacked principled turn-by-turn strategy selection — our RAG recommender adds exactly that layer.,gap / method,TRUE,full,True
"Sukabdi, Z. A.",2025,AI-Based Deradicalization: Opportunities Risks and Case Studies,Journal of Digital Security and Forensics 2(2),,CVE / AI,https://doi.org/10.29121/DigiSecForensics.v2.i2.2025.63,Reviews AI opportunities in deradicalization including conversational agents; identifies evaluation as a recurring gap across all case studies.,core,Explicitly identifies conversational agents as an opportunity and evaluation as an unsolved problem — both directly addressed by our work.,motivation / gap / evaluation,FALSE,full,False
"Kolenik, T., Schiepek, G., & Gams, M.",2024,Computational Psychotherapy System for Mental Health Prediction and Behavior Change with a Conversational Agent,,arXiv,clinical psychology / NLP,https://www.tandfonline.com/doi/full/10.2147/NDT.S417695,Builds a conversational agent that selects therapeutic interventions based on a simulated theory of mind modeling user mental state.,supporting,Structural precedent for turn-by-turn strategy selection inside a dialogue agent; ours differs in domain (ideological vs emotional) and mechanism (RAG vs cognitive architecture).,gap / method,FALSE,full,True
"Mieleszczenko-Kowszewicz, W. et al.",2025,Unraveling SITT: Social Influence Technique Taxonomy and Detection with LLMs,ICDMW 2025,,NLP / computational social science,,Builds a taxonomy of 58 social influence techniques and evaluates LLM ability to detect them in dialogue; finds LLMs are only moderately capable.,supporting,Shows LLMs cannot reliably identify influence techniques implicitly — motivates our explicit RAG-based technique retrieval rather than relying on model knowledge.,method,FALSE,full,True
"Nicholson, J., Keeling, S., & Black, M.",2023,Countering Violent Extremism Online: Understanding Adversity and Adaptation in an Increasingly Complex Digital Environment,RAND Australia (RRA2773-1),,CVE / policy,https://www.rand.org/t/RRA2773-1,Documents that coordinated deplatforming has driven extremists to less monitored alternative platforms hardening rather than dissolving extremist networks.,core,Institutional evidence that content-removal approaches are counterproductive — directly motivates belief-level intervention as an alternative.,motivation,FALSE,full,False
"Stockhammer, N.",2025,From TikTok to Terrorism? The Online Radicalization of European Lone Attackers since October 7 2023,CTC Sentinel,,CVE / terrorism studies,,Documents algorithm-driven affective identity-forming radicalization on TikTok linked to lone-actor attacks in Europe 2023-2025; existing P/CVE strategies proved insufficient.,core,Concrete recent evidence of the radicalization pattern motivating our work; shows identity-protective affective radicalization resistant to content-level responses.,motivation,FALSE,full,False
"Lakomy, M.",2022,Why Do Online Countering Violent Extremism Strategies Not Work? The Case of Digital Jihad,Terrorism and Political Violence,,CVE / policy,https://doi.org/10.1080/09546553.2022.2038575,Argues that the three pillars of online CVE (counter-narratives awareness-raising takedowns) have produced few tangible results particularly content control.,supporting,Establishes that the third CVE pillar (takedowns) fails; motivates a fourth pillar of individualized dialogue intervention.,motivation,FALSE,full,False
"Ziemer, C. T., & Rothmund, T.",2024,Psychological Underpinnings of Misinformation Countermeasures,,arXiv,social psychology / political psychology,,Reviews 176 misinformation interventions finding most are poorly linked to psychological theory and not designed to address motivated reasoning specifically.,supporting,Motivates theory-grounded technique selection; gap between intervention practice and psychological theory is exactly what our corpus addresses.,motivation / gap,FALSE,full,False
"Wittenberg, C., & Berinsky, A. J.",2020,Misinformation and Its Correction,Social Media and Democracy (Cambridge),,political psychology,,Documents the worldview backfire effect where corrections contradicting prior beliefs can strengthen rather than weaken them in identity-protective contexts.,core,Provides the psychological mechanism explaining why direct argument fails on extremist beliefs and why indirect rapport-based techniques are necessary.,motivation / gap,FALSE,full,False
"Molle, D.",2025,The Mathematics of Political Mayhem,Terrorism and Political Violence,,computational social science / network science,,Presents a computational framework combining Bayesian inference Markov chains and network analysis to predict stochastic violence from extremist network structure.,supporting,Provides mathematical grounding for high-centrality targeting; maps extremist networks to identify nodes whose rhetoric diffuses most widely.,future work / motivation,FALSE,full,True
"Bouhlaoui, A.",2025,AI Agents for Counter-Extremism: Deployment Frameworks for Covert and Overt Digital Deradicalisation,,SSRN:5296073,CVE / law / AI ethics,https://ssrn.com/abstract=5296073,Evaluates three AI agent deployment models (overt analytical direct engagement covert) across technical legal ethical and strategic dimensions; recommends transparent community-partnered approaches.,supporting,Provides taxonomy locating our system as a direct engagement agent; argues this is the most strategically effective approach while being legally defensible.,motivation / ethics,FALSE,full,False
"Carvalho, C. M. et al.",2026,"PROTOCOL: Interventions Targeting Misinformation, Disinformation and Malinformation for Reducing and Countering Violent Extremism: A Systematic Review",Campbell Systematic Reviews,,CVE / social psychology,https://doi.org/10.1002/cl2.70042,Protocol for a systematic review of MDM interventions and violent extremism; signals active research frontier at intersection of communication and CVE.,background,Signals this is an active research frontier; our work contributes empirical evidence to the gap the review will synthesize.,motivation,FALSE,abstract only,False
"Scheele, R., Voogd, A., & Berends, A. (RAN Practitioners Staff)",2024,AI: Understanding and Opportunities for P/CVE Practitioners,policy/practitioner document,,CVE / policy / practitioner,https://sustainablepeace.eu/wp-content/uploads/2024/08/Conclusion-paper-AI-opportunities.pdf,EU practitioner network meeting report identifying AI opportunities for P/CVE work; calls for conversational chatbots and knowledge-base tools while noting AI is currently over-securitised and under-used for positive intervention.,supporting,Institutional evidence from EU practitioners that conversational AI tools are needed but absent in P/CVE — directly motivates our system from a policy rather than academic angle.,motivation / ethics,FALSE,full,False
"Chen, W., Wang, Y., & Zhou, T.",2026,Beyond Reactive Empathy: Efficient RL for Proactive Emotion-Adaptive and LLM-based Mental Health Chatbot Design,,SSRN,clinical psychology / NLP / reinforcement learning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6128326,Builds a mental health chatbot that selects conversational strategies proactively using RL within a POMDP framework maintaining beliefs about latent emotional states and optimizing strategy selection over multiple turns; outperforms reactive LLM baselines.,core,Closest structural precedent to our two-stage select-then-generate pipeline; distinguishes from ours in domain (emotional vs ideological) mechanism (RL vs RAG) and corpus (learned vs explicit auditable technique cards).,gap / method,FALSE,abstract only,True
"Sinai, J., Fuller, J., & Seal, T.",2019,Research Note: Effectiveness in Counter-Terrorism and Countering Violent Extremism: A Literature Review,Perspectives on Terrorism 13(6),,CVE / counter-terrorism,https://www.jstor.org/stable/26853743,Literature review of 200+ CT/CVE publications identifying consistent gap between process metrics (reach disruption) and outcome metrics (attitude and behavior change); notes soft CVE approaches lack rigorous evaluation.,supporting,Reinforces the evaluation gap cluster (with Koehler 2017 Helmus & Klein 2018 Bateman & Jackson 2024) that your controlled experimental design directly addresses.,motivation / gap / evaluation,FALSE,full,False
"Chuang, Y. S., Tu, R., Dai, C., Li, Y., Vasani, S., Yao, B., Tessler, M. H., Yang, S., Shah, D., Hawkins, R., Hu, J., & Rogers, T. T.",2026,DEBATE: A Large-Scale Benchmark for Evaluating Opinion Dynamics in Role-Playing LLM Agents,,,NLP / computational social science / opinion dynamics,https://arxiv.org/abs/2510.25110,Introduces a large-scale benchmark of 2788 participants across 107 topics for evaluating authenticity of opinion dynamics in multi-agent RPLA simulations; finds that RPLAs exhibit premature convergence and unnatural stance alignment relative to humans.,core,Directly motivates and formalizes our LLM-vs-LLM evaluation limitation; RPLA convergence artifacts it identifies are exactly the confound our directional accuracy metric partially guards against.,evaluation / gap,FALSE,full,True
"Hackenburg, K., Tappin, B. M., Hewitt, L., Saunders, E., Black, S., Lin, H., Fist, C., Margetts, H., Rand, D. G., & Summerfield, C.",2025,The Levers of Political Persuasion with Conversational AI,,arXiv:2507.13919,NLP / political psychology / computational social science,https://arxiv.org/pdf/2507.13919,"Large-scale study (N=76,977) across 19 LLMs and 707 political issues showing conversational AI is 41-52% more persuasive than static messages with durable effects; post-training and prompting drive persuasiveness more than model scale or personalization.",core,Empirically validates our core premise (conversational AI persuasion works and is durable); their finding that structured prompting boosts persuasiveness directly supports why RAG-guided technique selection should outperform an unguided baseline.,motivation / gap / method,FALSE,full,True
"Lindsay, G., Brown, J. C., Johnson, B. D., Owens, C., Hall, A., & Carrott, J. H.",2023,Microtargeting Unmasked: Safeguarding Law Enforcement the Military and the Nation in the Era of Personalized Threats,ASU Threatcasting Lab / US Secret Service / Army Cyber Institute (Threatcasting Lab Report),,military strategy / CVE / futures studies,https://www.ttgnet.com/journal/wp-content/uploads/2023/10/asu-tc-micro-targeting-report_final.pdf,Threatcasting report examining how adversaries use personalized microtargeting to attack high-value individuals; documents the dual-use nature of persuasion technology and identifies mitigation strategies.,background,Frames the dual-use problem your system raises — targeted belief-level persuasion can serve either protective or manipulative ends; the Bernays appendix contextualizes the historical roots of engineered consent that your system transparently inverts.,motivation / ethics,FALSE,skimmed,False
"Vanatta, N., & Johnson, B. D.",2018,Threatcasting: a framework and process to model future operating environments,Journal of Defense Modeling and Simulation: Applications Methodology Technology,,military strategy / futures studies / foresight,https://threatcasting.asu.edu/sites/g/files/litvpz1036/files/2019-11/Threatcasting_technicalnote_JDMS_2018.pdf,A foresight methodology combining backcasting scenario planning and Delphi methods to model future threats and specify actionable mitigation steps; developed at ASU and the Army Cyber Institute at West Point.,tangential,Provides a foresight vocabulary for situating our dialogue intervention within a broader counter-extremism strategy pipeline; the TAD backcasting phase maps loosely to the upstream network targeting + downstream dialogue intervention sequence.,future work,FALSE,full,False
"European Commission Expert Group on Violent Radicalisation (Reinares, F. et al.)",2008,Radicalisation Processes Leading to Acts of Terrorism,European Commission Expert Group Report (submitted 15 May 2008),,CVE / political science / terrorism studies,https://www.researchgate.net/publication/294430062_Radicalisation_Processes_Leading_to_Acts_of_Terrorism_A_concise_Report_prepared_by_the_European_Commission's_Expert_Group_on_Violent_Radicalisation,Foundational EU policy report reviewing academic research on violent radicalisation; concludes it is driven by rational emotional and identitarian motivations in combination and calls for persuasive non-radical narratives as the policy response.,supporting,High-level policy mandate for exactly what your system attempts — matching extremist narratives with persuasive non-radical dialogue; also motivates why purely ideological counter-arguments are insufficient.,motivation,FALSE,full,False
"Koehler, D.",2017,How and Why We Should Take Deradicalization Seriously,Nature Human Behaviour 1 (0118),,CVE / terrorism studies,https://www.nature.com/articles/s41562-017-0095,Argues that deradicalization programmes lack evaluation standards and coherent theories of change; identifies measurement of success as a critical unsolved problem and critiques both theological and psychological approaches as insufficient.,core,High-impact citation establishing that the field lacks rigorous evaluation — directly motivates our controlled experimental design; also critiques existing intervention approaches in ways that create space for structured conversational technique recommendation.,motivation / gap / evaluation,FALSE,full,False
"Davies, G., Neudecker, C., Ouellet, M., Bouchard, M., & Ducol, B.",2016,Toward a Framework Understanding of Online Programs for Countering Violent Extremism,Journal for Deradicalization (7),,CVE / political science / criminology,https://jd.journals.publicknowledgeproject.org/index.php/jd/article/view/43,Reviews online CVE programs finding they lack theoretical foundations and fail to address why extremist narratives resonate for particular individuals; typologizes counter-messaging approaches along a spectrum from strategic communications to counter-narratives.,supporting,Motivates individualized adaptive dialogue over broadcast counter-narratives; your system addresses the gap this paper identifies — adapting to why a narrative resonates for a specific individual rather than targeting narrative content generically.,motivation / gap,FALSE,full,False
"Bateman, J., & Jackson, D.",2024,Countering Disinformation Effectively: An Evidence-Based Policy Guide,Carnegie Endowment for International Peace (policy report),,CVE / policy / disinformation,https://assets.carnegieendowment.org/static/files/Carnegie_Countering_Disinformation_Effectively.pdf,Evidence-based policy review of ten disinformation counter-intervention types finding no silver bullet; counter-messaging effectiveness depends on matching receptive audiences with credible speakers and none of the approaches are simultaneously well-studied effective and scalable.,supporting,Systematic evidence that broadcast and platform-level disinformation interventions have known failure modes; motivates individualized adaptive dialogue as the next step beyond what current policy tools can achieve.,motivation / gap,FALSE,skimmed,False
"Helmus, T. C., & Klein, K.",2018,Assessing Outcomes of Online Campaigns Countering Violent Extremism: A Case Study of the Redirect Method,RAND Corporation Research Report (RR-2813),,CVE / evaluation methodology,https://apps.dtic.mil/sti/html/trecms/AD1086558/,Reviews evaluations of online CVE campaigns finding virtually all focus on reach and engagement rather than attitude or behavior change; case study of the Redirect Method shows it successfully placed content in front of users but could not demonstrate impact on attitudes.,core,Establishes the process-vs-impact evaluation gap your directional accuracy metric directly addresses; the Redirect Method's evaluation failure is precisely what your controlled experimental design overcomes.,motivation / gap / evaluation,FALSE,full,False
